Study Name	Ge_thermal
Sample Name	100_001_vac_phase
Run Name	on_phase_02
Operator	Cody
Date	8/16/2017
Time	11:42
Sign	FIX
Grating Spacing	04.80um
Channel	3
Number Traces	10000
Files in Batch	1
Batch Number	1
dt	50.000001E-12
time stamp (ms)	11:43:47
	
Time	Amplitude
0.000000E+0	9.249930E-5
5.000000E-11	-3.083310E-5
1.000000E-10	-1.507396E-4
1.500000E-10	-2.637943E-4
2.000000E-10	-3.614325E-4
2.500000E-10	-4.333764E-4
3.000000E-10	-4.676354E-4
3.500000E-10	-4.607836E-4
4.000000E-10	-4.196728E-4
4.500000E-10	-3.443030E-4
5.000000E-10	-2.483778E-4
5.500000E-10	-1.336101E-4
6.000000E-10	1.712950E-6
6.500000E-10	1.370360E-4
7.000000E-10	2.415260E-4
7.500000E-10	3.151828E-4
8.000000E-10	3.751361E-4
8.500000E-10	4.059692E-4
9.000000E-10	3.837008E-4
9.500000E-10	3.305994E-4
1.000000E-9	2.689332E-4
1.050000E-9	1.815727E-4
1.100000E-9	7.365685E-5
1.150000E-9	-2.226835E-5
1.200000E-9	-1.044900E-4
1.250000E-9	-1.849986E-4
1.300000E-9	-2.381001E-4
1.350000E-9	-2.637943E-4
1.400000E-9	-2.809238E-4
1.450000E-9	-2.740720E-4
1.500000E-9	-2.346742E-4
1.550000E-9	-1.952763E-4
1.600000E-9	-1.490267E-4
1.650000E-9	-9.249930E-5
1.700000E-9	-3.597195E-5
1.750000E-9	8.564750E-6
1.800000E-9	3.939785E-5
1.850000E-9	5.481440E-5
1.900000E-9	5.995325E-5
1.950000E-9	5.481440E-5
2.000000E-9	2.398130E-5
2.050000E-9	-2.055540E-5
2.100000E-9	-6.851800E-5
2.150000E-9	-1.318972E-4
2.200000E-9	-1.987022E-4
2.250000E-9	-2.278224E-4
2.300000E-9	-2.363871E-4
2.350000E-9	-2.500907E-4
2.400000E-9	-2.500907E-4
2.450000E-9	-2.192576E-4
2.500000E-9	-1.884245E-4
2.550000E-9	-1.627303E-4
2.600000E-9	-1.181936E-4
2.650000E-9	-7.365685E-5
2.700000E-9	-5.310145E-5
2.750000E-9	-2.740720E-5
2.800000E-9	1.541655E-5
2.850000E-9	4.453670E-5
2.900000E-9	5.824030E-5
2.950000E-9	7.536980E-5
3.000000E-9	9.935110E-5
3.050000E-9	1.250454E-4
