Study Name	Ge_thermal
Sample Name	100_001_vac_phase
Run Name	spot_24
Operator	Cody
Date	8/16/2017
Time	14:26
Sign	POS
Grating Spacing	08.50um
Channel	3
Number Traces	10000
Files in Batch	1
Batch Number	1
dt	50.000001E-12
time stamp (ms)	14:28:20
	
Time	Amplitude
0.000000E+0	-4.796246E-5
5.000000E-11	2.740712E-5
1.000000E-10	7.536958E-5
1.500000E-10	8.907314E-5
2.000000E-10	7.194369E-5
2.500000E-10	3.768479E-5
3.000000E-10	-3.083301E-5
3.500000E-10	-1.473133E-4
4.000000E-10	-2.877748E-4
4.500000E-10	-4.008291E-4
5.000000E-10	-5.036058E-4
5.500000E-10	-6.166602E-4
6.000000E-10	-6.954557E-4
6.500000E-10	-7.194369E-4
7.000000E-10	-7.262887E-4
7.500000E-10	-6.988816E-4
8.000000E-10	-6.337897E-4
8.500000E-10	-5.481424E-4
9.000000E-10	-4.419398E-4
9.500000E-10	-3.288854E-4
1.000000E-9	-2.261087E-4
1.050000E-9	-1.336097E-4
1.100000E-9	-4.796246E-5
1.150000E-9	3.425890E-6
1.200000E-9	2.740712E-5
1.250000E-9	4.111068E-5
1.300000E-9	3.425890E-5
1.350000E-9	-1.027767E-5
1.400000E-9	-5.481424E-5
1.450000E-9	-8.222136E-5
1.500000E-9	-1.130544E-4
1.550000E-9	-1.370356E-4
1.600000E-9	-1.473133E-4
1.650000E-9	-1.473133E-4
1.700000E-9	-1.473133E-4
1.750000E-9	-1.370356E-4
1.800000E-9	-1.164803E-4
1.850000E-9	-9.935081E-5
1.900000E-9	-1.027767E-4
1.950000E-9	-1.301838E-4
2.000000E-9	-1.781463E-4
2.050000E-9	-2.158311E-4
2.100000E-9	-2.500900E-4
2.150000E-9	-2.946265E-4
2.200000E-9	-3.323113E-4
2.250000E-9	-3.425890E-4
2.300000E-9	-3.528667E-4
2.350000E-9	-3.528667E-4
2.400000E-9	-3.186078E-4
2.450000E-9	-2.809230E-4
2.500000E-9	-2.569418E-4
2.550000E-9	-2.226829E-4
2.600000E-9	-2.124052E-4
2.650000E-9	-2.295346E-4
2.700000E-9	-2.432382E-4
2.750000E-9	-2.706453E-4
2.800000E-9	-3.391631E-4
2.850000E-9	-4.076809E-4
2.900000E-9	-4.727728E-4
2.950000E-9	-5.618460E-4
3.000000E-9	-6.509191E-4
