Study Name	Ge_thermal
Sample Name	110_111_vac_phase
Run Name	spot03
Operator	Cody
Date	8/10/2017
Time	12:24
Sign	POS
Grating Spacing	06.40um
Channel	3
Number Traces	10000
Files in Batch	1
Batch Number	1
dt	50.000001E-12
time stamp (ms)	12:26:08
	
Time	Amplitude
0.000000E+0	-6.577728E-4
5.000000E-11	-6.372174E-4
1.000000E-10	-6.303656E-4
1.500000E-10	-6.406433E-4
2.000000E-10	-6.543469E-4
2.500000E-10	-6.611987E-4
3.000000E-10	-6.817541E-4
3.500000E-10	-7.228649E-4
4.000000E-10	-7.639757E-4
4.500000E-10	-7.982347E-4
5.000000E-10	-8.376326E-4
5.500000E-10	-8.701786E-4
6.000000E-10	-8.907340E-4
6.500000E-10	-9.112894E-4
7.000000E-10	-9.301319E-4
7.500000E-10	-9.386966E-4
8.000000E-10	-9.472614E-4
8.500000E-10	-9.489743E-4
9.000000E-10	-9.318448E-4
9.500000E-10	-9.112894E-4
1.000000E-9	-8.855952E-4
1.050000E-9	-8.376326E-4
1.100000E-9	-7.845311E-4
1.150000E-9	-7.399944E-4
1.200000E-9	-6.971707E-4
1.250000E-9	-6.543469E-4
1.300000E-9	-6.183750E-4
1.350000E-9	-5.978196E-4
1.400000E-9	-6.046714E-4
1.450000E-9	-6.183750E-4
1.500000E-9	-6.320786E-4
1.550000E-9	-6.560599E-4
1.600000E-9	-6.851800E-4
1.650000E-9	-7.005966E-4
1.700000E-9	-7.005966E-4
1.750000E-9	-6.868930E-4
1.800000E-9	-6.594858E-4
1.850000E-9	-6.303656E-4
1.900000E-9	-5.961066E-4
1.950000E-9	-5.464311E-4
2.000000E-9	-5.104591E-4
2.050000E-9	-4.967555E-4
2.100000E-9	-4.830519E-4
2.150000E-9	-4.727742E-4
2.200000E-9	-4.864778E-4
2.250000E-9	-5.155980E-4
2.300000E-9	-5.395793E-4
2.350000E-9	-5.601347E-4
2.400000E-9	-5.824030E-4
2.450000E-9	-6.012455E-4
2.500000E-9	-6.218009E-4
2.550000E-9	-6.457822E-4
2.600000E-9	-6.526340E-4
2.650000E-9	-6.492081E-4
2.700000E-9	-6.526340E-4
2.750000E-9	-6.492081E-4
2.800000E-9	-6.389304E-4
2.850000E-9	-6.235138E-4
2.900000E-9	-5.961066E-4
2.950000E-9	-5.669865E-4
3.000000E-9	-5.447181E-4
3.050000E-9	-5.104591E-4
3.100000E-9	-4.624965E-4
3.150000E-9	-4.213857E-4
3.200000E-9	-3.939785E-4
3.250000E-9	-3.785620E-4
3.300000E-9	-3.854138E-4
3.350000E-9	-4.093951E-4
3.400000E-9	-4.505059E-4
3.450000E-9	-5.104591E-4
3.500000E-9	-5.841160E-4
3.550000E-9	-6.611987E-4
3.600000E-9	-7.434203E-4
3.650000E-9	-8.187901E-4
3.700000E-9	-8.718916E-4
3.750000E-9	-9.130024E-4
3.800000E-9	-9.489743E-4
3.850000E-9	-9.626779E-4
3.900000E-9	-9.541132E-4
3.950000E-9	-9.318448E-4
4.000000E-9	-8.975858E-4
4.050000E-9	-8.599009E-4
4.100000E-9	-8.222160E-4
4.150000E-9	-7.862441E-4
4.200000E-9	-7.622628E-4
4.250000E-9	-7.536980E-4
4.300000E-9	-7.485592E-4
4.350000E-9	-7.554110E-4
4.400000E-9	-7.776793E-4
4.450000E-9	-7.948088E-4
4.500000E-9	-7.982347E-4
4.550000E-9	-8.016606E-4
4.600000E-9	-8.153642E-4
4.650000E-9	-8.324937E-4
4.700000E-9	-8.444844E-4
4.750000E-9	-8.530491E-4
4.800000E-9	-8.496232E-4
4.850000E-9	-8.290678E-4
4.900000E-9	-8.102254E-4
4.950000E-9	-7.930959E-4
5.000000E-9	-7.485592E-4
5.050000E-9	-6.817541E-4
5.100000E-9	-6.337915E-4
5.150000E-9	-5.892548E-4
5.200000E-9	-5.293016E-4
5.250000E-9	-4.762001E-4
5.300000E-9	-4.505059E-4
5.350000E-9	-4.385152E-4
