Study Name	Ge_thermal
Sample Name	111_011_vac_phase
Run Name	spot09
Operator	Cody
Date	8/14/2017
Time	14:21
Sign	FIX
Grating Spacing	06.40um
Channel	3
Number Traces	10000
Files in Batch	1
Batch Number	1
dt	50.000001E-12
time stamp (ms)	14:23:37
	
Time	Amplitude
0.000000E+0	7.708275E-5
5.000000E-11	1.781468E-4
1.000000E-10	2.723591E-4
1.500000E-10	3.819879E-4
2.000000E-10	4.899037E-4
2.500000E-10	5.567088E-4
3.000000E-10	5.858289E-4
3.500000E-10	5.824030E-4
4.000000E-10	5.498570E-4
4.500000E-10	4.881908E-4
5.000000E-10	3.922656E-4
5.500000E-10	2.723591E-4
6.000000E-10	1.610173E-4
6.500000E-10	4.967555E-5
7.000000E-10	-5.481440E-5
7.500000E-10	-1.216195E-4
8.000000E-10	-1.490267E-4
8.500000E-10	-1.644432E-4
9.000000E-10	-1.558785E-4
9.500000E-10	-1.113418E-4
1.000000E-9	-3.425900E-5
1.050000E-9	5.481440E-5
1.100000E-9	1.387490E-4
1.150000E-9	2.038411E-4
1.200000E-9	2.500907E-4
1.250000E-9	2.586555E-4
1.300000E-9	2.312483E-4
1.350000E-9	1.815727E-4
1.400000E-9	1.079159E-4
1.450000E-9	6.851800E-6
1.500000E-9	-1.027770E-4
1.550000E-9	-1.987022E-4
1.600000E-9	-2.774979E-4
1.650000E-9	-3.357382E-4
1.700000E-9	-3.648584E-4
1.750000E-9	-3.734231E-4
1.800000E-9	-3.614325E-4
1.850000E-9	-3.305994E-4
1.900000E-9	-2.774979E-4
1.950000E-9	-2.124058E-4
2.000000E-9	-1.575914E-4
2.050000E-9	-1.199065E-4
2.100000E-9	-9.249930E-5
2.150000E-9	-5.824030E-5
2.200000E-9	-2.740720E-5
2.250000E-9	-1.541655E-5
2.300000E-9	-1.541655E-5
2.350000E-9	-1.027770E-5
2.400000E-9	-1.884245E-5
2.450000E-9	-3.768490E-5
2.500000E-9	-4.453670E-5
2.550000E-9	-2.398130E-5
2.600000E-9	5.138850E-6
2.650000E-9	4.111080E-5
2.700000E-9	7.194390E-5
2.750000E-9	9.421225E-5
2.800000E-9	1.250454E-4
2.850000E-9	1.661562E-4
2.900000E-9	1.815727E-4
2.950000E-9	1.901375E-4
3.000000E-9	2.175447E-4
3.050000E-9	2.295353E-4
3.100000E-9	2.106929E-4
3.150000E-9	2.089799E-4
3.200000E-9	2.106929E-4
3.250000E-9	1.627303E-4
3.300000E-9	8.907340E-5
3.350000E-9	3.939785E-5
3.400000E-9	-1.370360E-5
3.450000E-9	-8.907340E-5
3.500000E-9	-1.370360E-4
3.550000E-9	-1.541655E-4
3.600000E-9	-1.695821E-4
3.650000E-9	-1.815727E-4
3.700000E-9	-1.798598E-4
3.750000E-9	-1.695821E-4
3.800000E-9	-1.370360E-4
3.850000E-9	-9.249930E-5
3.900000E-9	-5.824030E-5
3.950000E-9	-2.569425E-5
4.000000E-9	8.564750E-6
4.050000E-9	3.254605E-5
4.100000E-9	5.824030E-5
4.150000E-9	8.736045E-5
4.200000E-9	1.079159E-4
4.250000E-9	1.250454E-4
4.300000E-9	1.558785E-4
4.350000E-9	1.901375E-4
4.400000E-9	2.261094E-4
4.450000E-9	2.912015E-4
4.500000E-9	3.717102E-4
4.550000E-9	4.385152E-4
4.600000E-9	5.087462E-4
4.650000E-9	5.875419E-4
4.700000E-9	6.286527E-4
4.750000E-9	6.337915E-4
4.800000E-9	6.286527E-4
4.850000E-9	6.080973E-4
4.900000E-9	5.635606E-4
4.950000E-9	4.967555E-4
5.000000E-9	4.093951E-4
5.050000E-9	3.066181E-4
5.100000E-9	1.969893E-4
5.150000E-9	9.078635E-5
5.200000E-9	-1.541655E-5
5.250000E-9	-1.181936E-4
5.300000E-9	-2.038411E-4
5.350000E-9	-2.655073E-4
5.400000E-9	-2.946274E-4
5.450000E-9	-2.860627E-4
5.500000E-9	-2.398130E-4
5.550000E-9	-1.678691E-4
5.600000E-9	-9.592520E-5
5.650000E-9	-1.541655E-5
5.700000E-9	6.851800E-5
5.750000E-9	1.267583E-4
5.800000E-9	1.575914E-4
5.850000E-9	1.764339E-4
5.900000E-9	1.627303E-4
